State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Bihar,NALANDA,1997,Rabi       ,Wheat,81934,160425
Assam,KARBI ANGLONG,2011,Whole Year ,Onion,257,514
Gujarat,ANAND,2012,Summer     ,Maize,100,100
Karnataka,UTTAR KANNAD,2005,Rabi       ,Groundnut,2872,4572
Uttar Pradesh,JAUNPUR,2008,Rabi       ,Onion,110,1290
Assam,MARIGAON,2006,Rabi       ,Rapeseed &Mustard,6535,2719
Odisha,SONEPUR,1998,Winter     ,Rapeseed &Mustard,91,6
Rajasthan,DHOLPUR,2009,Whole Year ,Garlic,1,1
Karnataka,BELGAUM,2010,Whole Year ,Coconut ,336,3212
Bihar,MUNGER,2012,Summer     ,Moong(Green Gram),125,78
Chhattisgarh,JANJGIR-CHAMPA,2005,Kharif     ,Other Kharif pulses,223,107
Assam,KARBI ANGLONG,2011,Rabi       ,Rapeseed &Mustard,19337,8652
Uttar Pradesh,SHRAVASTI,1997,Kharif     ,Groundnut,72,58
Gujarat,PATAN,2011,Kharif     ,Moong(Green Gram),9100,3300
Tamil Nadu,KARUR,2000,Whole Year ,Sweet potato,20,309
Uttar Pradesh,KASGANJ,2011,Rabi       ,Tobacco,5247,28554
Haryana,MAHENDRAGARH,1998,Rabi       ,Wheat,45074,186000
Assam,DHEMAJI,2009,,Turmeric,321,211
Assam,BAKSA,2007,Kharif     ,Small millets,284,127
Kerala,PATHANAMTHITTA,2000,Whole Year ,Sugarcane,224,10950
Chhattisgarh,JANJGIR-CHAMPA,2010,Rabi       ,Linseed,2497,658
Chhattisgarh,DHAMTARI,2012,,Banana,46,1520
Karnataka,BELLARY,2008,Rabi       ,Maize,3418,7487
Assam,TINSUKIA,2012,Autumn     ,Rice,5806,7964
Uttar Pradesh,RAE BARELI,,Kharif     ,Maize,11,13
Karnataka,KOLAR,2012,Rabi       ,Cowpea(Lobia),14,5
Madhya Pradesh,NEEMUCH,2011,Whole Year ,Sesamum,780,456
West Bengal,BARDHAMAN,2007,Kharif     ,Sannhamp,37,275
Odisha,NAYAGARH,2003,Whole Year ,Dry chillies,510,430
Punjab,AMRITSAR,,Rabi       ,Peas & beans (Pulses),400,300
Rajasthan,BANSWARA,2005,Kharif     ,Jowar,688,197
Andhra Pradesh,KADAPA,2004,Kharif     ,Ragi,25,35
Odisha,NABARANGPUR,2004,Whole Year ,,82,263
Haryana,BHIWANI,2008,Kharif     ,Groundnut,50,100
Bihar,SHEOHAR,2008,Rabi       ,Rapeseed &Mustard,251,5
Tamil Nadu,PUDUKKOTTAI,2008,Whole Year ,Sunflower,106,141
Bihar,MADHEPURA,2000,Rabi       ,Peas & beans (Pulses),1232,1279
Chhattisgarh,SUKMA,2013,Kharif     ,Arhar/Tur,375,229
Maharashtra,PARBHANI,2004,Kharif     ,Arhar/Tur,63900,21500
Andhra Pradesh,SRIKAKULAM,1998,Kharif     ,Arhar/Tur,1800,1100
Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,Lemon,810,4406
Karnataka,BIJAPUR,2002,Kharif     ,Other Kharif pulses,7620,2629
Bihar,NAWADA,2000,Whole Year ,Onion,358,4976
Haryana,REWARI,2012,Kharif     ,Groundnut,46,51
Uttar Pradesh,PILIBHIT,2013,Kharif     ,Maize,281,570
Maharashtra,BULDHANA,2006,Kharif     ,Sesamum,5900,1300
West Bengal,DINAJPUR UTTAR,2007,Rabi       ,Urad,671,463
Uttar Pradesh,GONDA,2003,Kharif     ,Sunflower,8,13
Uttar Pradesh,PILIBHIT,2001,Kharif     ,Moong(Green Gram),1,0.1
Andhra Pradesh,WEST GODAVARI,2003,Whole Year ,Tomato,310,3058
Punjab,JALANDHAR,1999,Kharif     ,Moong(Green Gram),100,100
Chhattisgarh,RAIGARH,2008,Rabi       ,Wheat,2120,2995
Rajasthan,ALWAR,2002,Rabi       ,Barley,17855,56537
Uttar Pradesh,RAE BARELI,1997,Rabi       ,Sunflower,85,130
Telangana ,RANGAREDDI,2013,Rabi       ,Rice,17986,40163
Haryana,SIRSA,2002,Whole Year ,Other Fresh Fruits,2362,22400
Kerala,KASARAGOD,2010,Autumn     ,Rice,2283.99,5824.31
Bihar,GAYA,2004,Rabi       ,Rapeseed &Mustard,530,371
Uttar Pradesh,KAUSHAMBI,2010,Rabi       ,Onion,180,3313
Madhya Pradesh,SEONI,2002,Kharif     ,Dry ginger,313,362
Haryana,KAITHAL,2002,Rabi       ,Rapeseed &Mustard,1877,3000
Nagaland,DIMAPUR,2009,Rabi       ,Barley,60,90
Maharashtra,LATUR,2005,Kharif     ,Sugarcane,18300,1415200
Karnataka,CHITRADURGA,1999,Rabi       ,Rapeseed &Mustard,195,42
Rajasthan,CHITTORGARH,1998,Whole Year ,Potato,27,98
Uttar Pradesh,DEORIA,1997,Kharif     ,Onion,317,3264
Maharashtra,NANDED,2009,Kharif     ,Rice,5600,1500
Gujarat,PATAN,2006,Whole Year ,Dry chillies,300,200
Telangana ,MEDAK,2006,Kharif     ,Small millets,4,2
Kerala,MALAPPURAM,2003,Whole Year ,Banana,8963,71210
Kerala,IDUKKI,2010,Autumn     ,Rice,418.33,1083.47
West Bengal,NADIA,2003,Rabi       ,Groundnut,3263,5218
Maharashtra,GONDIA,1999,Rabi       ,Gram,21200,9900
Assam,DIMA HASAO,2010,Whole Year ,Onion,29,48
Andhra Pradesh,CHITTOOR,2004,Kharif     ,Castor seed,351,205
Maharashtra,WASHIM,2006,Kharif     ,Sesamum,1800,300
Uttar Pradesh,AZAMGARH,2008,Rabi       ,Rapeseed &Mustard,1746,1975
Odisha,BOUDH,1998,Summer     ,Wheat,27,29
Rajasthan,KOTA,2001,Rabi       ,Gram,17195,16807
Odisha,KENDRAPARA,2003,Rabi       ,Sunflower,40,30
Madhya Pradesh,RAISEN,2006,Rabi       ,Wheat,178364,311314
Meghalaya,WEST GARO HILLS,1999,Whole Year ,Arecanut,2424,3384
Rajasthan,BUNDI,2001,Rabi       ,Gram,25967,20413
Jharkhand,GODDA,2003,Rabi       ,Gram,1181.77,1114.41
Uttar Pradesh,RAMPUR,2010,Summer     ,Rice,5170,9818
Odisha,KENDRAPARA,1998,Summer     ,Urad,629,179
Uttar Pradesh,SIDDHARTH NAGAR,2002,Summer     ,Urad,1,1
Uttar Pradesh,FAIZABAD,2010,Kharif     ,Small millets,70,58
West Bengal,NADIA,2010,Rabi       ,Potato,7073,193100
Tamil Nadu,DINDIGUL,2011,Whole Year ,Coconut ,29478,574900000
Karnataka,BELLARY,2009,Whole Year ,Sugarcane,2464,238762
Chhattisgarh,BEMETARA,2013,Rabi       ,Wheat,11859,11412
Nagaland,TUENSANG,1999,Kharif     ,Soyabean,1700,1900
Assam,GOALPARA,2002,Whole Year ,Sugarcane,102,3715
Tamil Nadu,TIRUVANNAMALAI,2010,Kharif     ,Rice,125490,357692
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Arhar/Tur,51728,4293
Assam,TINSUKIA,2006,Kharif     ,Niger seed,65,31
Karnataka,CHITRADURGA,1997,Rabi       ,Wheat,518,381
Odisha,SUNDARGARH,2010,Summer     ,Wheat,806,1412.7
Odisha,BARGARH,2003,Kharif     ,Sesamum,1054,184
Uttar Pradesh,HATHRAS,1998,Kharif     ,Bajra,36744,53351
Uttar Pradesh,JALAUN,2003,Kharif     ,Moong(Green Gram),1180,221
Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Linseed,12,1
Uttar Pradesh,SANT KABEER NAGAR,1999,Rabi       ,Rapeseed &Mustard,2043,2343
Uttarakhand,RUDRA PRAYAG,2008,Kharif     ,Ragi,6504,10941
Telangana ,RANGAREDDI,2001,Kharif     ,Maize,8828,17877
Uttar Pradesh,FAIZABAD,2013,Kharif     ,Sesamum,60,9
Madhya Pradesh,MORENA,1999,Rabi       ,Linseed,20,11
Uttar Pradesh,BALRAMPUR,2006,Rabi       ,Rapeseed &Mustard,16802,16315
Himachal Pradesh,KULLU,2005,Whole Year ,Potato,1300,6535
Uttar Pradesh,KUSHI NAGAR,2002,Summer     ,Onion,36,403
Odisha,JAJAPUR,1998,Winter     ,Horse-gram,2586,1190
Gujarat,JAMNAGAR,2011,Whole Year ,Garlic,9600,57700
Tamil Nadu,COIMBATORE,1998,Kharif     ,Ragi,510,1271
Telangana ,RANGAREDDI,2007,Rabi       ,Onion,2000,36000
Maharashtra,BULDHANA,2007,Rabi       ,Safflower,42,29
Tamil Nadu,ERODE,1999,Kharif     ,Sunflower,600,689
Madhya Pradesh,KATNI,2003,Whole Year ,Brinjal,303,0
Rajasthan,KARAULI,1999,Rabi       ,Linseed,16,10
Odisha,DEOGARH,2011,Summer     ,Urad,5,1.9
Bihar,PATNA,2007,Winter     ,Rice,86036,90805
Uttar Pradesh,CHANDAULI,2010,Kharif     ,Guar seed,19,16
Madhya Pradesh,RAISEN,2005,Kharif     ,Arhar/Tur,22280,14082
Uttar Pradesh,MAHARAJGANJ,2003,Rabi       ,Rapeseed &Mustard,4454,4176
Bihar,KHAGARIA,1997,Kharif     ,Other Kharif pulses,369,231
Karnataka,CHITRADURGA,1999,Kharif     ,Niger seed,466,137
Uttar Pradesh,BAREILLY,2000,Rabi       ,Gram,123,105
Uttar Pradesh,KANPUR DEHAT,2003,Kharif     ,Sunflower,16,27
Rajasthan,DHOLPUR,2010,Whole Year ,Sannhamp,3,3
Rajasthan,JHUNJHUNU,1998,Kharif     ,Bajra,247217,225383
Uttar Pradesh,KANPUR DEHAT,2007,Rabi       ,Masoor,500,303
Karnataka,UTTAR KANNAD,2007,Whole Year ,Coconut ,7415,38738
Arunachal Pradesh,UPPER SIANG,2002,Kharif     ,Maize,950,1100
Tamil Nadu,RAMANATHAPURAM,2010,Kharif     ,Horse-gram,1,0
Mizoram,KOLASIB,2005,Kharif     ,Groundnut,3,2
Himachal Pradesh,BILASPUR,1998,Kharif     ,Small millets,1,0
Bihar,KATIHAR,2004,Whole Year ,Sweet potato,44,537
Uttarakhand,NAINITAL,2005,Rabi       ,Masoor,454,232
Rajasthan,AJMER,2001,Kharif     ,Moong(Green Gram),61145,17827
Odisha,GAJAPATI,2007,Winter     ,Groundnut,1,1
Madhya Pradesh,VIDISHA,2001,Rabi       ,Gram,204384,206837
Haryana,SIRSA,2009,Rabi       ,Barley,9235,30000
Karnataka,BANGALORE RURAL,2005,Whole Year ,Tapioca,10,73
Odisha,BOUDH,2009,Autumn     ,Maize,360,279.7
Chhattisgarh,KANKER,2008,Rabi       ,Moong(Green Gram),93,26
Maharashtra,KOLHAPUR,2012,Kharif     ,Castor seed,600,100
Karnataka,BIDAR,2007,Kharif     ,Soyabean,14782,15237
Manipur,TAMENGLONG,2003,Whole Year ,Jack Fruit,5,23
Meghalaya,WEST KHASI HILLS,2012,Rabi       ,Tobacco,39,56
Andhra Pradesh,VIZIANAGARAM,2012,Kharif     ,Pome Granet,5,67
Odisha,KENDUJHAR,2001,Rabi       ,Masoor,1970,770
Haryana,PANCHKULA,2008,Rabi       ,Gram,733,1000
Uttar Pradesh,ALLAHABAD,2000,Kharif     ,Maize,211,447
Karnataka,MYSORE,1997,Kharif     ,Ragi,90302,133034
Madhya Pradesh,CHHINDWARA,2009,Whole Year ,Rice,18751,14240
Maharashtra,DHULE,2013,Rabi       ,Gram,42300,53260
Odisha,SUNDARGARH,2010,Winter     ,Rice,118000,108000
Uttarakhand,HARIDWAR,2001,Whole Year ,Onion,9,90
Bihar,SHEIKHPURA,2012,Rabi       ,Maize,68,233
Haryana,SONIPAT,2005,Whole Year ,Sugarcane,12781,860000
Uttar Pradesh,BAHRAICH,1998,Whole Year ,Onion,443,5349
Madhya Pradesh,BURHANPUR,2005,Whole Year ,Onion,357,12442
Karnataka,KOLAR,2012,Kharif     ,Small millets,70,34
Uttar Pradesh,SANT RAVIDAS NAGAR,2014,Summer     ,Moong(Green Gram),27,18
Uttarakhand,PITHORAGARH,2014,Rabi       ,Rapeseed &Mustard,827,705
Madhya Pradesh,GWALIOR,2011,Kharif     ,Barley,936,3421
Haryana,PANCHKULA,1997,Rabi       ,Other  Rabi pulses,7000,4000
Tamil Nadu,DINDIGUL,2003,Kharif     ,Groundnut,9461,17197
Madhya Pradesh,JABALPUR,2003,Whole Year ,Garlic,17,87
Madhya Pradesh,DATIA,2011,Rabi       ,Rapeseed &Mustard,16032,13608
Assam,UDALGURI,2014,Kharif     ,Tapioca,297,2820
West Bengal,DARJEELING,2006,Rabi       ,Safflower,5,3
Odisha,JAGATSINGHAPUR,2008,Winter     ,Horse-gram,806,378.8
Uttar Pradesh,JHANSI,2012,Kharif     ,Sesamum,106791,23067
Assam,DHUBRI,2007,Kharif     ,Maize,95,56
Uttar Pradesh,KANNAUJ,2012,Kharif     ,Rice,17275,52257
Odisha,CUTTACK,2005,Winter     ,Rapeseed &Mustard,254,38.9
Punjab,HOSHIARPUR,2004,Kharif     ,Urad,400,100
Maharashtra,AKOLA,2002,Whole Year ,Sugarcane,400,28000
Puducherry,PONDICHERRY,2014,Summer     ,Ragi,32,58
Jharkhand,PAKUR,2005,Autumn     ,Maize,2459.7,2115.34
Madhya Pradesh,BALAGHAT,2010,Whole Year ,Banana,4,190
Tamil Nadu,VIRUDHUNAGAR,2007,Whole Year ,Small millets,1841,963
Himachal Pradesh,CHAMBA,2010,Rabi       ,Barley,3756,3925
Haryana,PANCHKULA,2012,Rabi       ,Wheat,16823,59000
Rajasthan,JAISALMER,2004,Kharif     ,Jowar,4077,1892
Rajasthan,CHURU,2003,Kharif     ,Jowar,3,2
Tamil Nadu,THENI,2002,Kharif     ,Korra,37,16
Madhya Pradesh,SHEOPUR,1998,Rabi       ,Linseed,2600,1200
Assam,UDALGURI,2007,Whole Year ,Onion,305,762
Tamil Nadu,COIMBATORE,2000,Whole Year ,Tobacco,601,1040
Bihar,KATIHAR,2008,Whole Year ,Turmeric,11,14
West Bengal,24 PARAGANAS SOUTH,2011,Rabi       ,Potato,7969,188767
Telangana ,MEDAK,2003,Whole Year ,Coriander,3011,825
Odisha,SONEPUR,2005,Winter     ,Potato,30,169.1
Assam,KARBI ANGLONG,2007,Whole Year ,Dry ginger,1894,13321
Madhya Pradesh,SEHORE,1998,Kharif     ,Rice,1700,1200
Uttar Pradesh,BAGHPAT,2002,Kharif     ,Moong(Green Gram),6,4
Uttar Pradesh,JAUNPUR,1998,Whole Year ,Tobacco,130,806
Uttar Pradesh,ETAWAH,1999,Whole Year ,Peas & beans (Pulses),4353,8614
Haryana,YAMUNANAGAR,2007,Whole Year ,Onion,425,11400
Assam,UDALGURI,2013,Rabi       ,Ginger,629,6208
Madhya Pradesh,CHHINDWARA,2008,Kharif     ,Cotton(lint),28144,15998
Maharashtra,JALNA,2012,Kharif     ,Urad,10400,1500
Bihar,SARAN,2012,Winter     ,Rice,70129,164814
Maharashtra,SANGLI,2004,Rabi       ,Wheat,29400,50200
Bihar,BEGUSARAI,2005,Summer     ,Moong(Green Gram),534,327
Chhattisgarh,MAHASAMUND,2006,Whole Year ,Onion,219,958
Madhya Pradesh,BHOPAL,2012,Kharif     ,Maize,2590,5845
Madhya Pradesh,ALIRAJPUR,2009,Whole Year ,Maize,38269,34443
Uttar Pradesh,UNNAO,2008,Rabi       ,Wheat,232176,686542
Rajasthan,SAWAI MADHOPUR,2008,Rabi       ,other oilseeds,1332,487
Uttarakhand,PAURI GARHWAL,2003,Kharif     ,Soyabean,370,341
Rajasthan,BARMER,2010,Rabi       ,Wheat,16732,24526
Madhya Pradesh,PANNA,2012,Kharif     ,Rice,63640,64908
Karnataka,RAMANAGARA,2008,Summer     ,Maize,146,459
Odisha,NABARANGPUR,2004,Autumn     ,Ragi,4504,2031.3
Gujarat,DOHAD,2005,Kharif     ,Jowar,400,400
Assam,LAKHIMPUR,2001,Rabi       ,Urad,1345,568
Odisha,MALKANGIRI,1999,Rabi       ,Castor seed,360,160
Chhattisgarh,JASHPUR,2001,Kharif     ,Sunflower,5,1
Karnataka,RAICHUR,2009,Kharif     ,Bajra,55935,24202
Karnataka,CHITRADURGA,2003,Kharif     ,Jowar,7564,10694
Bihar,JEHANABAD,2007,Rabi       ,Peas & beans (Pulses),419,451
Kerala,THIRUVANANTHAPURAM,2013,Whole Year ,Mango,4840,28582
Bihar,MADHUBANI,2014,Kharif     ,Sesamum,186,167
Gujarat,RAJKOT,2005,Rabi       ,Wheat,73700,268700
Uttar Pradesh,MATHURA,2009,Kharif     ,Jowar,10,9
Rajasthan,BARAN,2007,Rabi       ,Barley,396,857
Chhattisgarh,DURG,2000,Rabi       ,Barley,4,2
Odisha,MAYURBHANJ,2003,Whole Year ,Dry chillies,1080,950
Manipur,BISHNUPUR,2005,Whole Year ,Dry chillies,540,320
Maharashtra,AKOLA,2014,Rabi       ,Wheat,18300,25800
Bihar,SAHARSA,1998,Rabi       ,Linseed,1035,791
Gujarat,BANAS KANTHA,1997,Kharif     ,Jowar,4500,100
Rajasthan,CHITTORGARH,2008,Whole Year ,Guar seed,5202,5203
Bihar,KISHANGANJ,2010,Kharif     ,Sesamum,244,192
Rajasthan,SIROHI,1999,Whole Year ,Coriander,4,2
Madhya Pradesh,GWALIOR,2007,Rabi       ,Wheat,67870,111365
West Bengal,DINAJPUR UTTAR,2010,Winter     ,Rice,177585,467258
Maharashtra,AKOLA,1997,Rabi       ,Wheat,20900,21800
Uttar Pradesh,AZAMGARH,2002,Kharif     ,Small millets,112,121
Assam,KARBI ANGLONG,2006,Whole Year ,Turmeric,578,465
Mizoram,LUNGLEI,2004,Kharif     ,Maize,1161,2287
Rajasthan,UDAIPUR,2002,Rabi       ,Linseed,2,1
Haryana,PALWAL,2012,Rabi       ,Wheat,96044,442000
Andhra Pradesh,GUNTUR,1998,Rabi       ,Sesamum,6000,2700
Haryana,SIRSA,2011,Kharif     ,Castor seed,2074,900
Tamil Nadu,VIRUDHUNAGAR,2005,Kharif     ,Moong(Green Gram),11393,3109
Chhattisgarh,BILASPUR,2008,Kharif     ,Moong(Green Gram),90,20
Uttar Pradesh,SONBHADRA,2009,Summer     ,Urad,1,1
Bihar,NALANDA,2000,Kharif     ,Sesamum,32,18
Gujarat,KHEDA,2012,Rabi       ,Wheat,86000,223500
Madhya Pradesh,SHAHDOL,1999,Whole Year ,Coriander,120,29
Assam,NALBARI,2009,Whole Year ,Dry chillies,300,215
Rajasthan,AJMER,2000,Rabi       ,Peas & beans (Pulses),56,93
Andhra Pradesh,PRAKASAM,2009,Rabi       ,Moong(Green Gram),746,454
Nagaland,DIMAPUR,2001,Rabi       ,Rapeseed &Mustard,3270,3290
West Bengal,HOOGHLY,2013,Rabi       ,Moong(Green Gram),43,32
Uttar Pradesh,AMBEDKAR NAGAR,2009,Rabi       ,Gram,1470,1480
Uttar Pradesh,FAIZABAD,2013,Summer     ,Urad,1842,672
Andhra Pradesh,PRAKASAM,2012,Rabi       ,Coriander,56,52
Madhya Pradesh,NARSINGHPUR,2006,Whole Year ,Sweet potato,127,1127
Chhattisgarh,JASHPUR,2003,Rabi       ,Linseed,1242,369
Andhra Pradesh,VISAKHAPATANAM,1997,Rabi       ,Gram,200,100
Assam,MARIGAON,2001,Kharif     ,Jute,4000,41111
Assam,NAGAON,1997,Whole Year ,Onion,1032,2168
West Bengal,24 PARAGANAS SOUTH,1998,Rabi       ,Peas & beans (Pulses),159,120
Uttarakhand,RUDRA PRAYAG,2013,Kharif     ,Other Kharif pulses,134,127
Manipur,BISHNUPUR,2004,Rabi       ,Rapeseed &Mustard,90,40
Uttar Pradesh,MUZAFFARNAGAR,2008,Summer     ,Maize,11,16
Odisha,SUNDARGARH,2004,Winter     ,Horse-gram,4505,1477.6
Rajasthan,NAGAUR,2009,Kharif     ,Other Kharif pulses,21792,1900
Gujarat,BHAVNAGAR,2008,Kharif     ,Urad,1800,1100
Uttarakhand,TEHRI GARHWAL,2005,Whole Year ,Dry ginger,208,3744
Uttarakhand,BAGESHWAR,2001,Rabi       ,Masoor,968,523
West Bengal,JALPAIGURI,2014,Kharif     ,Mesta,149,2001
Maharashtra,KOLHAPUR,2004,Kharif     ,Maize,2500,5900
Punjab,FIROZEPUR,2003,Rabi       ,Barley,4000,13000
Uttar Pradesh,MUZAFFARNAGAR,2009,Rabi       ,Turmeric,6,20
Tamil Nadu,DHARMAPURI,2004,Kharif     ,Urad,1706,1180
Meghalaya,WEST KHASI HILLS,2003,Whole Year ,Potato,5653,38829
Uttar Pradesh,KHERI,1998,Kharif     ,Soyabean,3,1
Karnataka,BAGALKOT,2011,Rabi       ,Dry chillies,605,587
Bihar,MADHUBANI,2006,Summer     ,Moong(Green Gram),9966,4525
Bihar,MADHEPURA,2011,Rabi       ,Masoor,578,465
Gujarat,AHMADABAD,2011,Rabi       ,Rapeseed &Mustard,1800,2800
Madhya Pradesh,SHAJAPUR,2000,Rabi       ,Rapeseed &Mustard,163,113
Karnataka,HAVERI,2001,Rabi       ,Gram,1330,781
Kerala,KOZHIKODE,2002,Whole Year ,other oilseeds,16,0
Rajasthan,DHOLPUR,2004,Whole Year ,Potato,1255,30070
Andhra Pradesh,VIZIANAGARAM,2004,Whole Year ,Sugarcane,15635,969636
Uttarakhand,TEHRI GARHWAL,2004,Whole Year ,Tobacco,3,10
Assam,DHEMAJI,2012,Rabi       ,Gram,9,6
Bihar,MADHEPURA,2007,Kharif     ,Sesamum,61,49
Assam,SONITPUR,2005,Whole Year ,Turmeric,922,673
Uttar Pradesh,RAMPUR,2013,Kharif     ,Dry chillies,112,90
West Bengal,BANKURA,2003,Kharif     ,Groundnut,729,668
Karnataka,TUMKUR,2005,Kharif     ,Niger seed,1690,490
West Bengal,PURULIA,2010,Rabi       ,Urad,531,267
Bihar,ARARIA,2005,Kharif     ,Other Kharif pulses,9,5
Gujarat,BHAVNAGAR,2005,Kharif     ,Other Cereals & Millets,4000,1000
Karnataka,KOPPAL,2009,Whole Year ,Cotton(lint),17514,7430
Assam,KARBI ANGLONG,2004,Whole Year ,Dry chillies,336,278
Bihar,PURNIA,2013,Summer     ,Rice,10247,21956
Chhattisgarh,KABIRDHAM,2004,Whole Year ,Onion,179,680
Meghalaya,WEST GARO HILLS,2008,Kharif     ,Sesamum,1116,600
Madhya Pradesh,SHIVPURI,2003,Kharif     ,Arhar/Tur,540,330
Uttar Pradesh,SULTANPUR,2012,Kharif     ,Bajra,141,119
Arunachal Pradesh,CHANGLANG,2009,Whole Year ,Sugarcane,545,7090
Maharashtra,GADCHIROLI,2014,Rabi       ,Wheat,1200,1200
Odisha,BALESHWAR,2006,Summer     ,Wheat,267,298.5
Bihar,KHAGARIA,2006,Kharif     ,Bajra,4,4
Chhattisgarh,BASTAR,2009,Rabi       ,Moong(Green Gram),15,4
Rajasthan,JODHPUR,2003,Kharif     ,Castor seed,4835,3799
Himachal Pradesh,SHIMLA,2005,Rabi       ,Coriander,35,7
Tamil Nadu,MADURAI,2013,Rabi       ,Groundnut,1051,2316
Chhattisgarh,DURG,2009,Rabi       ,Gram,101459,98361
Odisha,BALESHWAR,2002,Rabi       ,Other  Rabi pulses,640,600
Tamil Nadu,NAGAPATTINAM,2006,Whole Year ,Banana,613,32847
Gujarat,SURAT,2010,Kharif     ,Sesamum,1300,600
Madhya Pradesh,ANUPPUR,2006,Kharif     ,Groundnut,532,359
Madhya Pradesh,GUNA,2012,Rabi       ,Gram,78328,128818
Tamil Nadu,MADURAI,2008,Whole Year ,Sugarcane,4966,592186
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2013,Rabi       ,Rice,325,631
Andhra Pradesh,GUNTUR,2008,Kharif     ,Arhar/Tur,18935,21832
Uttar Pradesh,KUSHI NAGAR,2005,Rabi       ,Turmeric,379,1689
Bihar,GOPALGANJ,2013,Rabi       ,Masoor,141,179
Puducherry,PONDICHERRY,2005,Kharif     ,Sesamum,94,75
Maharashtra,JALGAON,2005,Kharif     ,Sunflower,500,300
Madhya Pradesh,RATLAM,2002,Whole Year ,Grapes,83,0
Maharashtra,JALGAON,1997,Kharif     ,Pulses total,1207,635
Himachal Pradesh,MANDI,2001,Kharif     ,Rice,19762,33767
Rajasthan,HANUMANGARH,2003,Kharif     ,Other Kharif pulses,2,1
Madhya Pradesh,SHIVPURI,1998,Kharif     ,Sesamum,5400,2100
Haryana,MAHENDRAGARH,2007,Kharif     ,Groundnut,231,200
Haryana,PANIPAT,2002,Rabi       ,Rapeseed &Mustard,861,1000
West Bengal,HOWRAH,2006,Kharif     ,Jute,3845,70248
Chhattisgarh,MAHASAMUND,2010,Whole Year ,Sannhamp,139,48
Uttar Pradesh,SITAPUR,2010,Kharif     ,Sugarcane,120267,6065305
Andhra Pradesh,SPSR NELLORE,2010,Kharif     ,Ragi,23,23
Tamil Nadu,THE NILGIRIS,1998,Kharif     ,Rice,2611,9192
Bihar,BHOJPUR,2005,Whole Year ,Dry chillies,30,26
Chhattisgarh,KONDAGAON,2011,Rabi       ,Peas & beans (Pulses),295,79
Andhra Pradesh,CHITTOOR,2001,Whole Year ,Turmeric,69,341
Bihar,PURNIA,2007,Summer     ,Rice,18529,33267
Telangana ,MEDAK,2000,Rabi       ,Sesamum,175,34
Uttar Pradesh,SHAHJAHANPUR,2014,Rabi       ,Turmeric,22,62
Gujarat,SURAT,2011,Rabi       ,Other Cereals & Millets,200,200
Gujarat,BHARUCH,2003,Kharif     ,Sesamum,3500,900
Maharashtra,PUNE,2003,Kharif     ,Jowar,2900,4600
Maharashtra,BEED,2009,Rabi       ,Jowar,207000,172400
Karnataka,HAVERI,1999,Kharif     ,Dry ginger,84,1108
Maharashtra,CHANDRAPUR,2009,Kharif     ,Urad,200,100
Rajasthan,UDAIPUR,2010,Kharif     ,Sesamum,2612,591
Madhya Pradesh,REWA,2008,Kharif     ,Bajra,998,558
Assam,LAKHIMPUR,2005,Whole Year ,Arecanut,2893,2880
Assam,KOKRAJHAR,2008,Rabi       ,Urad,3397,1617
Madhya Pradesh,VIDISHA,1999,Rabi       ,Safflower,2,0
Bihar,KATIHAR,2006,Rabi       ,Rapeseed &Mustard,4968,2673
Nagaland,MOKOKCHUNG,2003,Whole Year ,Tea,150,310
Haryana,YAMUNANAGAR,1998,Rabi       ,Wheat,63403,252000
Uttar Pradesh,BALLIA,2012,Rabi       ,Maize,4525,14168
Uttar Pradesh,BALRAMPUR,2007,Rabi       ,Onion,42,587
Uttarakhand,CHAMPAWAT,2007,Rabi       ,Gram,12,5
Maharashtra,GADCHIROLI,2004,Kharif     ,Other Cereals & Millets,500,300
Uttar Pradesh,HATHRAS,2012,Summer     ,Sunflower,16,12
Andhra Pradesh,VISAKHAPATANAM,2003,Rabi       ,Onion,164,1805
Assam,KARIMGANJ,2011,Kharif     ,Jute,66,612
Chandigarh,CHANDIGARH,2007,Rabi       ,Wheat,600,2800
Maharashtra,PARBHANI,2001,Whole Year ,Sugarcane,12100,1071300
Uttar Pradesh,PRATAPGARH,2005,Whole Year ,Garlic,7,30
Manipur,BISHNUPUR,2003,Whole Year ,Sugarcane,120,3920
Haryana,ROHTAK,1999,Whole Year ,Onion,30,400
Maharashtra,NASHIK,2009,Kharif     ,Maize,140900,318400
Uttar Pradesh,FARRUKHABAD,2011,Summer     ,Onion,490,6942
Karnataka,UTTAR KANNAD,2013,Rabi       ,Ragi,1,1
Gujarat,ANAND,2010,Kharif     ,Bajra,28000,36000
Bihar,AURANGABAD,2006,Rabi       ,Barley,1562,1250
Gujarat,KACHCHH,2009,Kharif     ,Bajra,55200,47900
Uttar Pradesh,PRATAPGARH,2002,Rabi       ,Rapeseed &Mustard,1605,1181
West Bengal,NADIA,2000,Autumn     ,Rice,53425,98840
Uttar Pradesh,KAUSHAMBI,2004,Whole Year ,Onion,197,2150
Karnataka,KOPPAL,2009,Kharif     ,Gram,6518,1319
Assam,JORHAT,2004,Rabi       ,Masoor,315,156
